listing_price,full_address,zip_code,county,municipality,bedrooms,bathrooms,sqft,property_type,listing_url,scrape_timestamp,lot_size,year_built,days_on_market,hoa_fees,source,price_per_sqft
199300.0,"100 Oak St, Hammonton, NJ 08401",08401,Atlantic,Hammonton,1.0,2.4502707174838743,1429.0,Condo/Co-op,https://synthetic.local/listing/50d7010211,2026-06-05T20:03:58,,1959.0,38,205.0,synthetic,139.46815955213435
265600.0,"137 Maple Ave, Atlantic City, NJ 08234",08234,Atlantic,Atlantic City,4.0,2.8740074738016363,1441.0,Single Family,https://synthetic.local/listing/fbab740b87,2026-06-07T18:19:58,10344.0,1951.0,22,,synthetic,184.31644691186676
276300.0,"174 Cedar Rd, Atlantic City, NJ 08232",08232,Atlantic,Atlantic City,1.0,2.319385511332009,1228.0,Condo/Co-op,https://synthetic.local/listing/416fc2aa41,2026-06-10T07:07:58,,2002.0,22,465.0,synthetic,225.0
397000.0,"211 Pine Ln, Atlantic City, NJ 08401",08401,Atlantic,Atlantic City,2.0,1.8404150274470084,2423.0,Single Family,https://synthetic.local/listing/4d56f79241,2026-06-14T23:00:58,12216.0,1988.0,12,,synthetic,163.84647131654972
353800.0,"248 Elm Ct, Pleasantville, NJ 08234",08234,Atlantic,Pleasantville,3.0,2.7312955189519874,2410.0,Single Family,https://synthetic.local/listing/aa99834dee,2026-06-15T16:03:58,1500.0,1967.0,52,,synthetic,146.80497925311204
475600.0,"285 Birch Blvd, Egg Harbor Township, NJ 08232",08232,Atlantic,Egg Harbor Township,3.0,2.968977865087423,2462.0,Single Family,https://synthetic.local/listing/27b57cb71a,2026-06-06T01:37:58,12467.0,1966.0,32,,synthetic,193.17627944760358
151700.0,"322 Willow Dr, Galloway, NJ 08232",08232,Atlantic,Galloway,,2.414291212440661,950.0,Condo/Co-op,https://synthetic.local/listing/da041be11e,2026-06-07T00:33:58,,1997.0,60,494.0,synthetic,159.68421052631578
353500.0,"359 Lake Way, Hammonton, NJ 08232",08232,Atlantic,Hammonton,2.0,2.50999529498215,2312.0,Single Family,https://synthetic.local/listing/b05d214afd,2026-06-10T07:28:58,10733.0,1991.0,78,,synthetic,152.89792387543253
223900.0,"396 Park Pl, Egg Harbor Township, NJ 08401",08401,Atlantic,Egg Harbor Township,3.0,1.9567125667839635,1549.0,Townhouse,https://synthetic.local/listing/071235a85d,2026-06-06T16:12:58,3539.0,1994.0,6,339.0,synthetic,144.5448676565526
107700.0,"433 River St, Hammonton, NJ 08037",08037,Atlantic,Hammonton,2.0,1.6435100265819234,594.0,Condo/Co-op,https://synthetic.local/listing/f4bd2c391b,2026-06-12T11:51:58,,1996.0,13,321.0,synthetic,181.31313131313132
435300.0,"470 Forest Ave, Atlantic City, NJ 08037",08037,Atlantic,Atlantic City,3.0,3.5873500601923496,2543.0,Single Family,https://synthetic.local/listing/451945fc1e,2026-06-14T15:45:58,10284.0,2011.0,3,,synthetic,171.1757766417617
311000.0,"507 Hill Rd, Hammonton, NJ 08401",08401,Atlantic,Hammonton,2.0,2.7508110779601562,2545.0,Single Family,https://synthetic.local/listing/8c683c2c33,2026-06-03T08:35:58,18484.0,2024.0,1,71.0,synthetic,122.20039292730844
270600.0,"544 Spring Ln, Hammonton, NJ 08232",08232,Atlantic,Hammonton,3.0,2.5942291404672067,1637.0,Townhouse,https://synthetic.local/listing/de977ab6fb,2026-06-13T11:13:58,1671.0,1974.0,34,192.0,synthetic,165.3023824068418
257700.0,"581 Highland Ct, Pleasantville, NJ 08205",08205,Atlantic,Pleasantville,2.0,3.7770818394610988,1371.0,Townhouse,https://synthetic.local/listing/2dbc991aaa,2026-06-16T06:05:58,3171.0,1986.0,6,362.0,synthetic,187.96498905908095
409100.0,"618 Main Blvd, Atlantic City, NJ 08205",08205,Atlantic,Atlantic City,2.0,1.4776499405443044,2112.0,Single Family,https://synthetic.local/listing/d4dca9f588,2026-06-11T10:59:58,16395.0,1978.0,49,173.0,synthetic,193.7026515151515
563400.0,"655 Washington Dr, Hammonton, NJ 08232",08232,Atlantic,Hammonton,2.0,1.4054726406034679,3073.0,Single Family,https://synthetic.local/listing/c158911544,2026-06-13T02:28:58,17118.0,1970.0,72,,synthetic,183.3387569150667
258700.0,"692 Lincoln Way, Atlantic City, NJ 08401",08401,Atlantic,Atlantic City,3.0,2.36924568118039,2219.0,Single Family,https://synthetic.local/listing/c926746509,2026-06-16T10:13:58,15537.0,1977.0,60,,synthetic,116.58404686795853
145800.0,"729 Madison Pl, Atlantic City, NJ 08037",08037,Atlantic,Atlantic City,0.0,,931.0,Condo/Co-op,https://synthetic.local/listing/87033b5a15,2026-06-06T18:17:58,,1989.0,52,550.0,synthetic,156.60580021482278
266200.0,"766 Jefferson St, Galloway, NJ 08401",08401,Atlantic,Galloway,3.0,,1736.0,Townhouse,https://synthetic.local/listing/77d3d40435,2026-06-12T17:55:58,2683.0,2024.0,1,475.0,synthetic,153.34101382488478
335000.0,"803 Garden Ave, Egg Harbor Township, NJ 08037",08037,Atlantic,Egg Harbor Township,2.0,1.0,1894.0,Single Family,https://synthetic.local/listing/2706e9bf48,2026-06-05T03:58:58,3188.0,1961.0,35,,synthetic,176.87434002111934
805500.0,"840 Oak Rd, Hammonton, NJ 08234",08234,Atlantic,Hammonton,2.0,3.9695308226570516,3888.0,Single Family,https://synthetic.local/listing/24cab71c47,2026-06-08T16:39:58,2642.0,1965.0,41,,synthetic,207.17592592592592
156300.0,"877 Maple Ln, Pleasantville, NJ 08401",08401,Atlantic,Pleasantville,0.0,1.8570957536152009,1007.0,Condo/Co-op,https://synthetic.local/listing/fa35d111d3,2026-06-14T15:03:58,,1999.0,102,317.0,synthetic,155.21350546176762
186300.0,"914 Cedar Ct, Egg Harbor Township, NJ 08232",08232,Atlantic,Egg Harbor Township,1.0,2.189896557003985,1066.0,Condo/Co-op,https://synthetic.local/listing/1616a0174c,2026-06-15T06:48:58,,2024.0,33,636.0,synthetic,174.76547842401501
401000.0,"951 Pine Blvd, Hammonton, NJ 08205",08205,Atlantic,Hammonton,3.0,1.1043312104206457,2603.0,Single Family,https://synthetic.local/listing/c417c1b7b9,2026-06-16T01:12:58,10772.0,1947.0,5,,synthetic,154.05301575105648
